thread_id,elapsed_time_micros,local_queue_depth,local_schedule_count,mean_poll_time_micros,noop_count,overflow_count,park_count,park_unpark_count,poll_count,steal_count,steal_operations,total_busy_duration_micros
0,0,0,0,3,1,0,1,1,0,0,0,11
1,0,0,0,3,1,0,1,1,0,0,0,0
2,0,0,0,3,1,0,1,1,0,0,0,0
3,0,0,0,3,1,0,1,1,0,0,0,0
4,0,0,0,3,1,0,1,1,0,0,0,0
5,0,0,0,3,1,0,1,1,0,0,0,0
6,0,0,0,3,1,0,1,1,0,0,0,0
7,0,0,0,3,1,0,1,1,0,0,0,0
8,0,0,0,3,1,0,1,1,0,0,0,0
9,0,0,0,3,1,0,1,1,0,0,0,0
10,0,0,0,3,1,0,1,1,0,0,0,0
11,0,0,0,3,1,0,1,1,0,0,0,0
0,203402,0,0,3,1,0,1,1,0,0,0,11
1,203402,0,0,3,1,0,1,1,0,0,0,0
2,203402,0,0,3,1,0,1,1,0,0,0,0
3,203402,0,0,3,1,0,1,1,0,0,0,0
4,203402,0,0,3,1,0,1,1,0,0,0,0
5,203402,0,0,3,1,0,1,1,0,0,0,0
6,203402,0,0,3,1,0,1,1,0,0,0,0
7,203402,0,0,3,1,0,1,1,0,0,0,0
8,203402,0,0,3,1,0,1,1,0,0,0,0
9,203402,0,0,3,1,0,1,1,0,0,0,0
10,203402,0,0,3,1,0,1,1,0,0,0,0
11,203402,0,0,3,1,0,1,1,0,0,0,0
0,405224,0,0,3,1,0,1,1,0,0,0,11
1,405224,0,0,3,1,0,1,1,0,0,0,0
2,405224,0,0,3,1,0,1,1,0,0,0,0
3,405224,0,0,3,1,0,1,1,0,0,0,0
4,405224,0,0,3,1,0,1,1,0,0,0,0
5,405224,0,0,3,1,0,1,1,0,0,0,0
6,405224,0,0,3,1,0,1,1,0,0,0,0
7,405224,0,0,3,1,0,1,1,0,0,0,0
8,405224,0,0,3,1,0,1,1,0,0,0,0
9,405224,0,0,3,1,0,1,1,0,0,0,0
10,405224,0,0,3,1,0,1,1,0,0,0,0
11,405224,0,0,3,1,0,1,1,0,0,0,0
0,609373,0,0,3,1,0,1,1,0,0,0,11
1,609373,0,0,3,1,0,1,1,0,0,0,0
2,609373,0,0,3,1,0,1,1,0,0,0,0
3,609373,0,0,3,1,0,1,1,0,0,0,0
